X,Y,Z
-0.661017,0.966102,0.000000
-0.627119,0.966102,0.000000
-0.593220,0.966102,0.000000
-0.559322,0.966102,0.000000
-0.525424,0.966102,0.000000
-0.491525,0.966102,0.000000
-0.457627,0.966102,0.000000
-0.423729,0.966102,0.000000
-0.389831,0.966102,0.000000
-0.355932,0.966102,0.000000
-0.322034,0.966102,0.000000
-0.288136,0.966102,0.000000
-0.254237,0.966102,0.000000
-0.220339,0.966102,0.000000
-0.186441,0.966102,0.000000
-0.152542,0.966102,0.000000
-0.118644,0.966102,0.000000
-0.084746,0.966102,0.000000
-0.050847,0.966102,0.000000
-0.016949,0.966102,0.000000
0.016949,0.966102,0.000000
0.050847,0.966102,0.000000
0.084746,0.966102,0.000000
0.118644,0.966102,0.000000
0.152542,0.966102,0.000000
0.186441,0.966102,0.000000
0.220339,0.966102,0.000000
0.254237,0.966102,0.000000
0.288136,0.966102,0.000000
0.322034,0.966102,0.000000
0.355932,0.966102,0.000000
0.389830,0.966102,0.000000
0.423729,0.966102,0.000000
0.457627,0.966102,0.000000
0.491525,0.966102,0.000000
0.525424,0.966102,0.000000
0.559322,0.966102,0.000000
0.593220,0.966102,0.000000
0.627119,0.966102,0.000000
0.661017,0.966102,0.000000
0.694915,0.966102,0.000000
0.728814,0.966102,0.000000
0.762712,0.966102,0.000000
0.796610,0.966102,0.000000
0.830508,0.966102,0.000000
0.864407,0.966102,0.000000
0.898305,0.966102,0.000000
0.932203,0.966102,0.000000
0.966102,0.966102,0.000000
1.000000,0.966102,0.000000
-1.000000,1.000000,0.000000
-0.966102,1.000000,0.000000
-0.932203,1.000000,0.000000
-0.898305,1.000000,0.000000
-0.864407,1.000000,0.000000
-0.830508,1.000000,0.000000
-0.796610,1.000000,0.000000
-0.762712,1.000000,0.000000
-0.728814,1.000000,0.000000
-0.694915,1.000000,0.000000
-0.661017,1.000000,0.000000
-0.627119,1.000000,0.000000
-0.593220,1.000000,0.000000
-0.559322,1.000000,0.000000
-0.525424,1.000000,0.000000
-0.491525,1.000000,0.000000
-0.457627,1.000000,0.000000
-0.423729,1.000000,0.000000
-0.389831,1.000000,0.000000
-0.355932,1.000000,0.000000
-0.322034,1.000000,0.000000
-0.288136,1.000000,0.000000
-0.254237,1.000000,0.000000
-0.220339,1.000000,0.000000
-0.186441,1.000000,0.000000
-0.152542,1.000000,0.000000
-0.118644,1.000000,0.000000
-0.084746,1.000000,0.000000
-0.050847,1.000000,0.000000
-0.016949,1.000000,0.000000
0.016949,1.000000,0.000000
0.050847,1.000000,0.000000
0.084746,1.000000,0.000000
0.118644,1.000000,0.000000
0.152542,1.000000,0.000000
0.186441,1.000000,0.000000
0.220339,1.000000,0.000000
0.254237,1.000000,0.000000
0.288136,1.000000,0.000000
0.322034,1.000000,0.000000
0.355932,1.000000,0.000000
0.389830,1.000000,0.000000
0.423729,1.000000,0.000000
0.457627,1.000000,0.000000
0.491525,1.000000,0.000000
0.525424,1.000000,0.000000
0.559322,1.000000,0.000000
0.593220,1.000000,0.000000
0.627119,1.000000,0.000000
0.661017,1.000000,0.000000
0.694915,1.000000,0.000000
0.728814,1.000000,0.000000
0.762712,1.000000,0.000000
0.796610,1.000000,0.000000
0.830508,1.000000,0.000000
0.864407,1.000000,0.000000
0.898305,1.000000,0.000000
0.932203,1.000000,0.000000
0.966102,1.000000,0.000000
1.000000,1.000000,0.000000
